underlyingValue,leg_6381bc63_call_90_hoy,leg_6381bc63_call_90_vcto,und_hoy,und_vcto,P&L Hoy,P&L Vcto
166.17,-251651.47,-218665.13,0.0,0.0,-251651.47,-218665.13
166.98,-254598.99,-221900.31,0.0,0.0,-254598.99,-221900.31
167.78,-257550.69,-225135.5,0.0,0.0,-257550.69,-225135.5
168.59,-260506.5,-228370.69,0.0,0.0,-260506.5,-228370.69
169.4,-263466.37,-231605.87,0.0,0.0,-263466.37,-231605.87
170.21,-266430.24,-234841.06,0.0,0.0,-266430.24,-234841.06
171.02,-269398.04,-238076.24,0.0,0.0,-269398.04,-238076.24
171.83,-272369.73,-241311.43,0.0,0.0,-272369.73,-241311.43
172.64,-275345.24,-244546.62,0.0,0.0,-275345.24,-244546.62
173.45,-278324.52,-247781.8,0.0,0.0,-278324.52,-247781.8
174.25,-281307.52,-251016.99,0.0,0.0,-281307.52,-251016.99
175.06,-284294.18,-254252.17,0.0,0.0,-284294.18,-254252.17
175.87,-287284.44,-257487.36,0.0,0.0,-287284.44,-257487.36
176.68,-290278.27,-260722.54,0.0,0.0,-290278.27,-260722.54
